journal,SJR
european journal of interdisciplinary studies,"0,230"
glottometrics,"0,230"
indian journal of small ruminants,"0,230"
international journal of computer networks and applications,"0,230"
international journal of design and nature and ecodynamics,"0,230"
international journal of economics and management,"0,230"
"international journal of technology, policy and management","0,230"
istoricheski pregled,"0,230"
journal of advanced research in applied sciences and engineering technology,"0,230"
journal of equine science,"0,230"
journal of information systems engineering and management,"0,230"
"journal of the turkish chemical society, section a","0,230"
linguistica uralica,"0,230"
linye kexue/scientia silvae sinicae,"0,230"
magnetohydrodynamics,"0,230"
masculinities and social change,"0,230"
neizvestnyi dostoevskii,"0,230"
pediatria medica e chirurgica,"0,230"
pediatric nursing,"0,230"
politica y sociedad,"0,230"
population review,"0,230"
problems of atomic science and technology,"0,230"
progress in pediatric cardiology,"0,230"
quaestio facti,"0,230"
revista de gestion publica,"0,230"
revue forestiere francaise,"0,230"
tidsskrift for samfunnsforskning,"0,230"
tongxin xuebao/journal on communications,"0,230"
trimestre economico,"0,230"
turkish journal of biochemistry,"0,230"
us geological survey circular,"0,230"
webbia,"0,230"
xibei gongye daxue xuebao/journal of northwestern polytechnical university,"0,230"
yuanzineng kexue jishu/atomic energy science and technology,"0,230"
acta comportamentalia,"0,229"
acta technica jaurinensis,"0,229"
advances in electrical and electronic engineering,"0,229"
agris on-line papers in economics and informatics,"0,229"
annals of daaam and proceedings of the international daaam symposium,"0,229"
boletim de ciencias geodesicas,"0,229"
case reports in dermatological medicine,"0,229"
chuan bo li xue/journal of ship mechanics,"0,229"
cirugia y cirujanos,"0,229"
egyptian journal of aquatic biology and fisheries,"0,229"
fenmo yejin jishu/powder metallurgy technology,"0,229"
fisioterapia em movimento,"0,229"
folia biologica,"0,229"
gastroenterology nursing,"0,229"
human sport medicine,"0,229"
international journal of mechatronics and manufacturing systems,"0,229"
international journal of robotics and automation,"0,229"
international review of mechanical engineering,"0,229"
issues in science and technology,"0,229"
italian journal of computational linguistics,"0,229"
italian journal of food science,"0,229"
journal of energy markets,"0,229"
journal of optical technology,"0,229"
journal of optimization,"0,229"
kontakt,"0,229"
magnetism,"0,229"
mathematics in applied sciences and engineering,"0,229"
missouri journal of mathematical sciences,"0,229"
modern electric power,"0,229"
modern history of russia,"0,229"
nonlinear studies,"0,229"
notes and records,"0,229"
ntp developmental and reproductive toxicity technical report series,"0,229"
open ophthalmology journal,"0,229"
revista de psicopatologia y psicologia clinica,"0,229"
science of soil and water conservation,"0,229"
southern african journal of critical care,"0,229"
surgeries,"0,229"
tropical geography,"0,229"
ukrainian botanical journal,"0,229"
verba,"0,229"
zeitschrift fur literaturwissenschaft und linguistik,"0,229"
acta palaeobotanica,"0,228"
"acta universitatis carolinae, geographica","0,228"
advancements in life sciences,"0,228"
agraarteadus,"0,228"
australian feminist law journal,"0,228"
austrian journal of forest science,"0,228"
british journal of community justice,"0,228"
california archaeology,"0,228"
catalysis in industry,"0,228"
ciencia rural,"0,228"
"conference proceedings - ieee international conference on systems, man and cybernetics","0,228"
contemporary french civilization,"0,228"
critical historical studies,"0,228"
estudios pedagogicos,"0,228"
geofisica internacional,"0,228"
geographia polonica,"0,228"
geophysical research,"0,228"
guangzi xuebao/acta photonica sinica,"0,228"
hermes,"0,228"
hunter gatherer research,"0,228"
international anesthesiology clinics,"0,228"
international journal of aquatic research and education,"0,228"
international journal of diplomacy and economy,"0,228"
international journal of electrical engineering and education,"0,228"
international journal of operational research,"0,228"
journal - american water works association,"0,228"
journal of integrated disaster risk management,"0,228"
journal of medicinal and pharmaceutical chemistry research,"0,228"
journal of porphyrins and phthalocyanines,"0,228"
journal of the serbian chemical society,"0,228"
klinik psikiyatri dergisi,"0,228"
linguistik aktuell,"0,228"
mathematical methods of statistics,"0,228"
nomadic peoples,"0,228"
nowele,"0,228"
nuytsia,"0,228"
pakistan journal of statistics,"0,228"
plant science today,"0,228"
proceedings of the ieee/cpmt international electronics manufacturing technology symposium,"0,228"
revista cidob d'afers internacionals,"0,228"
revue europeenne des migrations internationales,"0,228"
spectroscopy letters,"0,228"
"studia historica, historia medieval","0,228"
studia socjologiczne,"0,228"
telkomnika,"0,228"
tropical doctor,"0,228"
turkish journal of veterinary and animal sciences,"0,228"
urbe,"0,228"
us geological survey open-file report,"0,228"
world academy of sciences journal,"0,228"
world's veterinary journal,"0,228"
yuridika,"0,228"
zhongguo ji sheng chong xue yu ji sheng chong bing za zhi = chinese journal of parasitology & parasitic diseases,"0,228"
advanced physical research,"0,227"
african journal of paediatric surgery,"0,227"
agricultural research in the arid areas,"0,227"
annales polonici mathematici,"0,227"
annals of esophagus,"0,227"
athenea digital,"0,227"
autoctonia,"0,227"
biology and environment,"0,227"
biotech studies,"0,227"
boletin de literatura oral,"0,227"
bulletin of kamchatka regional association educational-scientific center. earth sciences,"0,227"
carpathian journal of earth and environmental sciences,"0,227"
chinese journal of nursing education,"0,227"
communications for statistical applications and methods,"0,227"
estudios sociologicos,"0,227"
etnografica,"0,227"
european journal of ecology,"0,227"
geography and natural resources,"0,227"
girlhood studies,"0,227"
"international conference on ubiquitous and future networks, icufn","0,227"
international journal of environment and sustainable development,"0,227"
international journal of innovation and learning,"0,227"
international journal of manufacturing research,"0,227"
international journal of services and operations management,"0,227"
"international journal of technological learning, innovation and development","0,227"
investigacion bibliotecologica,"0,227"
investment management and financial innovations,"0,227"
journal europeen des systemes automatises,"0,227"
journal of nano- and electronic physics,"0,227"
journal of road safety,"0,227"
journal of southern african studies,"0,227"
journal of the history of the neurosciences,"0,227"
lilloa,"0,227"
orvosi hetilap,"0,227"
physis,"0,227"
povijesni prilozi,"0,227"
recent patents on engineering,"0,227"
revista juridica,"0,227"
safer communities,"0,227"
sensor review,"0,227"
spatium,"0,227"
"statistics, politics and policy","0,227"
transactions of the korean society of automotive engineers,"0,227"
us cardiology review,"0,227"
vestnik st. petersburg university,"0,227"
western indian ocean journal of marine science,"0,227"
wound practice and research,"0,227"
zhongguo biaomian gongcheng/china surface engineering,"0,227"
zoonotes,"0,227"
acta alimentaria,"0,226"
acta chirurgiae orthopaedicae et traumatologiae cechoslovaca,"0,226"
acta zoologica bulgarica,"0,226"
african conflict and peacebuilding review,"0,226"
anali hrvatskog politoloskog drustva,"0,226"
archives of automotive engineering,"0,226"
asian pacific journal of cancer biology,"0,226"
australasian journal of disaster and trauma studies,"0,226"
australian journal of mathematical analysis and applications,"0,226"
botanica,"0,226"
brazilian journal of veterinary research and animal science,"0,226"
british journal of health care management,"0,226"
business and professional ethics journal,"0,226"
chiang mai university journal of natural sciences,"0,226"
chinese journal of chromatography,"0,226"
diritto pubblico comparato ed europeo,"0,226"
"east asian science, technology and society","0,226"
forest systems,"0,226"
fp essentials,"0,226"
geograficky casopis,"0,226"
historia contemporanea,"0,226"
"intercarto, intergis","0,226"
international journal of biometrics,"0,226"
international journal of cartography,"0,226"
international journal of safety and security engineering,"0,226"
international system on chip conference,"0,226"
internet technology letters,"0,226"
izvestiya vysshikh uchebnykh zavedeniy. prikladnaya nelineynaya dinamika,"0,226"
journal of advanced pharmacy education and research,"0,226"
journal of comparative politics,"0,226"
"journal of fluid flow, heat and mass transfer","0,226"
journal of gems and gemmology,"0,226"
"journal of property, planning and environmental law","0,226"
journal of scottish philosophy,"0,226"
journal of the institute of latvian history,"0,226"
jurnal manajemen hutan tropika,"0,226"
letonica,"0,226"
livestock research for rural development,"0,226"
media practice and education,"0,226"
nanoscience and technology,"0,226"
natural sciences education,"0,226"
neophilologus,"0,226"
polish journal of sport and tourism,"0,226"
pragmatics and beyond new series,"0,226"
"rad hrvatske akademije znanosti i umjetnosti, matematicke znanosti","0,226"
radio journal,"0,226"
"revista chapingo, serie ciencias forestales y del ambiente","0,226"
revista de psicologia de la salud,"0,226"
revista medica de chile,"0,226"
rostaniha,"0,226"
sae international journal of commercial vehicles,"0,226"
science for conservation,"0,226"
scientific contributions oil and gas,"0,226"
slovenska archeologia,"0,226"
southern african journal of entrepreneurship and small business management,"0,226"
transactional analysis journal,"0,226"
